State,District,Block/Tehsil,Village,No. of Surface Flow Schemes Permanently not in use due to - Salinity,No. of Surface Flow Schemes Permanently not in use due to - Dried up,No. of Surface Flow Schemes Permanently not in use due to - Destroyed beyond repair,No. of Surface Flow Schemes Permanently not in use due to - Sinking,No. of Surface Flow Schemes Permanently not in use due to - Other reasons
UTTARAKHAND,Bageshwar,KAPKOT,RATIRKETI,0,0,0,0,1
UTTARAKHAND,Tehri,THAULDHAR,KOT,0,0,0,0,2
UTTARAKHAND,Almora,DHAULADEVI,BALSUNA,0,0,0,0,1
UTTARAKHAND,Chamoli,NARAINBAGAR,RAMPUR,0,0,0,0,1
UTTARAKHAND,Tehri,THAULDHAR,NAWAGAON,0,0,0,0,2
UTTARAKHAND,Almora,LAMGARA,KUNJ ARA,0,0,0,0,2
UTTARAKHAND,Almora,LAMGARA,BHANGA DEOLI,0,0,0,0,6
UTTARAKHAND,Almora,LAMGARA,KALTANI MADHYE BIJRK,0,0,0,0,2
UTTARAKHAND,Dehradun,CHAKRATA,DHORA PUDIA,0,0,2,0,1
UTTARAKHAND,Rudarprayag,UKHIMATH,GARWALI,0,0,0,0,1
UTTARAKHAND,Uttarkashi,MORI,VARI,0,0,0,0,1
UTTARAKHAND,Almora,LAMGARA,NAINI,0,0,0,0,1
UTTARAKHAND,Almora,DHAULADEVI,BIRGOLA,0,0,0,0,1
UTTARAKHAND,Dehradun,KALSI,KETI,0,0,0,1,0
UTTARAKHAND,Almora,DHAULADEVI,GANDHAK,0,0,0,0,2
UTTARAKHAND,Pithorgarh,MUNAKOT,SAUN GAON,0,0,0,0,2
UTTARAKHAND,Tehri,JAUNPUR,KASANGAON,0,0,0,0,1
UTTARAKHAND,Almora,DHAULADEVI,FARA KHOLI,0,0,0,0,1
UTTARAKHAND,Chamoli,GHAT,SIRONSAR,0,0,1,0,0
UTTARAKHAND,Pauri,KALJIKHAL,DANGI-1,0,0,0,0,2
UTTARAKHAND,Uttarkashi,CHINALISAUR,MOREGHI,0,0,0,0,3
UTTARAKHAND,Chamoli,NARAINBAGAR,NAU GAON,0,2,0,0,0
UTTARAKHAND,Bageshwar,KAPKOT,MALKHA DUGARCHA,0,0,1,0,3
UTTARAKHAND,Almora,BHIKIASAIN,POTHI,0,0,0,0,1
UTTARAKHAND,Tehri,JAUNPUR,TEWA,0,0,0,0,1
UTTARAKHAND,Almora,TAKULA,BAMANI GAR,0,0,3,0,0
UTTARAKHAND,Pithorgarh,KANALICHINA,SATGAR,0,1,0,1,0
UTTARAKHAND,Bageshwar,GARUR,DARIM KHET,0,0,0,0,5
UTTARAKHAND,Rudarprayag,UKHIMATH,GAIR,0,0,0,0,4
UTTARAKHAND,Almora,DHAULADEVI,NAYAL DHURA,0,0,0,0,1
UTTARAKHAND,Almora,BHIKIASAIN,PALI-2,0,2,0,0,0
UTTARAKHAND,Bageshwar,GARUR,DHAINA,0,0,0,0,7
UTTARAKHAND,Pithorgarh,DHARCHULA,BUNDI,0,0,2,0,0
UTTARAKHAND,Almora,LAMGARA,FATQWAL DUNGRA,0,0,0,0,2
UTTARAKHAND,Almora,LAMGARA,KHIRAULI,0,0,0,0,1
UTTARAKHAND,Dehradun,KALSI,ASTAD,0,0,0,2,0
UTTARAKHAND,Pauri,KHIRSU,GARSARI,0,1,0,0,0
UTTARAKHAND,Bageshwar,GARUR,SIRKOT,1,0,0,0,5
UTTARAKHAND,Pauri,THALISAIN,THAN,0,0,0,0,1
UTTARAKHAND,Almora,SALT,BHULBAGARH,0,11,0,0,0
UTTARAKHAND,Tehri,KRITINAGAR,SUMADI,0,0,0,0,1
UTTARAKHAND,Almora,DHAULADEVI,MAHRA GAON,0,0,0,0,1
UTTARAKHAND,Tehri,PRATAP NAGAR,CHANTHI,0,0,0,0,3
UTTARAKHAND,Rudarprayag,AUGUSTYAMUNI,SARI,0,0,0,0,1
UTTARAKHAND,Pauri,PAURI,CHAWATH,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,DHUKARA,0,0,0,0,8
UTTARAKHAND,Champawat,PATI,Jhalpura,0,0,0,0,1
UTTARAKHAND,Chamoli,DEWAL,SODING LAGA TRIKOT,0,0,0,0,1
UTTARAKHAND,Tehri,PRATAP NAGAR,BHELUNTA,0,0,0,0,19
UTTARAKHAND,Tehri,NARENDRA NAGAR,PIPLETH,0,0,0,0,6
UTTARAKHAND,Almora,HAWALBAG,TYARI KHAN,0,0,0,0,4
UTTARAKHAND,Chamoli,POKHARI,DHAMAK,0,1,0,0,0
UTTARAKHAND,Pauri,KOT,BAHERA,0,1,0,0,0
UTTARAKHAND,Almora,BHAISIACHHANA,THIKLANA,0,0,0,0,6
UTTARAKHAND,Almora,DHAULADEVI,ANDOLI,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,KHUMTIYA NAIKRA,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,MALLA DOBA,0,0,0,0,2
UTTARAKHAND,Tehri,DEVPRAYAG,CHAMI,0,0,0,0,5
UTTARAKHAND,Almora,BHIKIASAIN,MAYOLI TALLI,0,1,0,0,0
UTTARAKHAND,Chamoli,GHAT,NANI URF CHOPRAKOT,0,0,0,0,2
UTTARAKHAND,Chamoli,THARALI,DUNGARI,0,0,0,0,1
UTTARAKHAND,Dehradun,KALSI,SARADI,0,0,0,2,0
UTTARAKHAND,Uttarkashi,NOUGAON,GANDOLI,0,0,0,0,1
UTTARAKHAND,Almora,LAMGARA,MALTA,0,0,0,0,4
UTTARAKHAND,Almora,DHAULADEVI,GAULI,0,0,0,0,2
UTTARAKHAND,Chamoli,GAIRSEN,PATAL CHAURA,0,1,0,0,0
UTTARAKHAND,Almora,DHAULADEVI,NAKOT,0,0,0,0,2
UTTARAKHAND,Almora,HAWALBAG,BASAR,0,0,0,0,1
UTTARAKHAND,Pauri,YAMKESWAR,MARAL,0,0,0,0,5
UTTARAKHAND,Tehri,KRITINAGAR,GAWANA,0,0,0,0,1
UTTARAKHAND,Tehri,KRITINAGAR,BAINJWARI,0,0,0,0,1
UTTARAKHAND,Pithorgarh,BIN,KHITOLI,0,0,0,0,6
UTTARAKHAND,Almora,LAMGARA,POKHARI,0,0,0,0,1
UTTARAKHAND,Chamoli,JOSHIMATH,RAINGI,0,0,1,0,0
UTTARAKHAND,Chamoli,GHAT,PRANMATI,0,0,0,0,1
UTTARAKHAND,Tehri,THAULDHAR,JAMNI,0,0,0,0,1
UTTARAKHAND,Chamoli,GAIRSEN,RAMARA MALLA,0,0,1,0,1
UTTARAKHAND,Pithorgarh,MUNAKOT,KUWEETAR,0,0,0,4,0
UTTARAKHAND,Bageshwar,GARUR,RITHAN,0,0,0,0,1
UTTARAKHAND,Rudarprayag,AUGUSTYAMUNI,KINJANI,0,0,0,1,0
UTTARAKHAND,Almora,HAWALBAG,KATARMAL GUNTH,0,0,0,0,1
UTTARAKHAND,Pithorgarh,KANALICHINA,GURAULI,0,1,0,0,0
UTTARAKHAND,Dehradun,CHAKRATA,MOOTHI,0,0,3,0,0
UTTARAKHAND,Bageshwar,GARUR,KULSARI,0,0,0,0,1
UTTARAKHAND,Almora,HAWALBAG,BHELGAR,0,0,0,0,1
UTTARAKHAND,Dehradun,KALSI,DEU,0,0,0,2,0
UTTARAKHAND,Rudarprayag,UKHIMATH,ANDRWADI,0,0,0,0,1
UTTARAKHAND,Pauri,KOT,PAWAIN,0,1,0,0,0
UTTARAKHAND,Almora,TARIKHET,THAPLA,0,0,1,0,0
UTTARAKHAND,Almora,LAMGARA,MALLA BHATURA,0,0,0,0,1
UTTARAKHAND,Bageshwar,BAGESHWAR,ARE,0,0,0,0,2
UTTARAKHAND,Bageshwar,KAPKOT,SORAG,0,0,0,0,5
UTTARAKHAND,Almora,SALT,PURIYA CHAURA,0,1,0,0,0
UTTARAKHAND,Bageshwar,KAPKOT,KALO BADIYAKOT,0,0,0,0,2
UTTARAKHAND,Pithorgarh,DHARCHULA,BANGAPANI,0,0,0,0,1
UTTARAKHAND,Pithorgarh,GANGOLIHAT,GWAL,0,0,0,0,1
UTTARAKHAND,Pauri,KOT,BHAINSWARA,0,0,1,0,0
UTTARAKHAND,Uttarkashi,NOUGAON,KUTHNOR,0,0,0,0,1
UTTARAKHAND,Pithorgarh,KANALICHINA,SUROUN,0,0,1,0,0
UTTARAKHAND,Chamoli,DEWAL,BALAN,0,0,0,0,2
UTTARAKHAND,Almora,TAKULA,RASYARA GAON,0,0,1,0,0
UTTARAKHAND,Pauri,KOT,PACHUR,0,1,1,0,0
UTTARAKHAND,Tehri,THAULDHAR,OLANI,0,0,0,0,2
UTTARAKHAND,Bageshwar,BAGESHWAR,SIMSYARI,0,0,0,0,1
UTTARAKHAND,Rudarprayag,JAKHOLI,KAPANIYA,0,0,0,0,2
UTTARAKHAND,Rudarprayag,JAKHOLI,MATHGAON,0,0,0,0,2
UTTARAKHAND,Pithorgarh,KANALICHINA,GOURI,0,0,0,1,0
UTTARAKHAND,Dehradun,KALSI,RIKHAD,0,0,0,6,0
UTTARAKHAND,Tehri,THAULDHAR,SAINSARI TALLI-MALLI,0,0,0,0,2
UTTARAKHAND,Champawat,BARAKOT,Surkot,0,0,2,0,0
UTTARAKHAND,Tehri,JAUNPUR,SENDUL,0,0,0,0,2
UTTARAKHAND,Champawat,BARAKOT,Simela,0,2,0,0,0
UTTARAKHAND,Chamoli,NARAINBAGAR,BEDULA,0,1,0,0,3
UTTARAKHAND,Rudarprayag,UKHIMATH,LWARA,0,0,0,0,5
UTTARAKHAND,Pauri,KOT,GAIND,0,1,0,0,0
UTTARAKHAND,Almora,BHAISIACHHANA,NALI MALLI,0,0,0,0,2
UTTARAKHAND,Almora,DHAULADEVI,TALAR,0,0,0,0,1
UTTARAKHAND,Almora,LAMGARA,TEEKAR,0,0,0,0,3
UTTARAKHAND,Almora,HAWALBAG,GHARSUN GUNTH,0,0,0,0,3
UTTARAKHAND,Almora,BHAISIACHHANA,JINGAL,0,0,0,0,1
UTTARAKHAND,Pauri,KOT,JAMARI GUNTH,0,1,0,0,0
UTTARAKHAND,Almora,SALT,PUNAKOTE,0,1,1,0,0
UTTARAKHAND,Pauri,KOT,SAUR,0,1,0,0,0
UTTARAKHAND,Almora,DHAULADEVI,BAMANSWAL,0,0,0,0,3
UTTARAKHAND,Almora,LAMGARA,SIMLI GUNTH,0,0,0,0,1
UTTARAKHAND,Dehradun,KALSI,HYOTGRI,0,0,0,1,0
UTTARAKHAND,Almora,HAWALBAG,SIDHPUR,0,0,0,0,6
UTTARAKHAND,Almora,SYALDEY,MAHGUARI,0,1,0,0,0
UTTARAKHAND,Almora,BHAISIACHHANA,DHAMOLI,0,0,0,0,1
UTTARAKHAND,Almora,DHAULADEVI,CHHANTANA,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,GWAR PAJENA,0,0,0,0,8
UTTARAKHAND,Chamoli,KARNAPRAYAG,TALAI,0,0,1,0,0
UTTARAKHAND,Almora,HAWALBAG,KALET,1,0,0,0,0
UTTARAKHAND,Bageshwar,GARUR,AINCHAR,0,0,0,0,2
UTTARAKHAND,Bageshwar,GARUR,SILANGTOLI,0,0,0,0,1
UTTARAKHAND,Pauri,PAURI,PAIDUL,0,0,0,0,2
UTTARAKHAND,Tehri,CHAMBA,MURIYAGAON,0,0,0,0,1
UTTARAKHAND,Champawat,BARAKOT,Okhlanj,0,0,1,0,0
UTTARAKHAND,Almora,DHAULADEVI,KHASPAR,0,0,0,0,1
UTTARAKHAND,Champawat,PATI,Rolmail,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,SILLI,0,0,0,0,2
UTTARAKHAND,Rudarprayag,AUGUSTYAMUNI,GHATBAGAR,0,0,0,0,1
UTTARAKHAND,Chamoli,NARAINBAGAR,JYURA,0,0,0,0,1
UTTARAKHAND,Almora,HAWALBAG,MAT,0,0,0,0,3
UTTARAKHAND,Uttarkashi,MORI,NANAI,0,0,0,0,1
UTTARAKHAND,Almora,BHAISIACHHANA,SUPAI SUPYAL,0,0,0,0,3
UTTARAKHAND,Tehri,JAUNPUR,KANDI TALLI,0,0,0,0,1
UTTARAKHAND,Chamoli,THARALI,GUMAR LAGA GERUR,0,3,1,0,4
UTTARAKHAND,Champawat,CHAMPAWAT,Goli,0,0,0,0,2
UTTARAKHAND,Almora,BHIKIASAIN,DALMARI,0,1,0,0,0
UTTARAKHAND,Almora,LAMGARA,BAGNIYA,0,0,0,0,3
UTTARAKHAND,Almora,DHAULADEVI,KOTMAHAR BIND,0,0,0,0,1
UTTARAKHAND,Uttarkashi,MORI,DEV JANI,0,0,0,0,1
UTTARAKHAND,Pithorgarh,MUNAKOT,SEL,0,0,0,0,6
UTTARAKHAND,Almora,DHAULADEVI,NAIKANA GUNTH,0,0,0,0,1
UTTARAKHAND,Almora,LAMGARA,GAUNA,0,0,0,0,1
UTTARAKHAND,Champawat,CHAMPAWAT,Bhariyas,0,1,0,0,0
UTTARAKHAND,Pithorgarh,KANALICHINA,BICHATTA,0,0,1,0,0
UTTARAKHAND,Almora,DHAULADEVI,KAOKOLI,0,0,0,0,2
UTTARAKHAND,Tehri,DEVPRAYAG,PUJAR GAON,0,0,0,0,1
UTTARAKHAND,Almora,SYALDEY,PIPAURA,0,1,0,0,0
UTTARAKHAND,Almora,LAMGARA,JAKH,0,0,0,0,2
UTTARAKHAND,Tehri,DEVPRAYAG,CHADIYARA TALLA,0,0,0,0,1
UTTARAKHAND,Pauri,THALISAIN,DAIDA,0,0,0,0,1
UTTARAKHAND,Champawat,LOHAGHAT,Gauri,0,0,0,0,1
UTTARAKHAND,Almora,BHAISIACHHANA,SALLA BHATKOT,0,0,0,0,3
UTTARAKHAND,Pauri,KALJIKHAL,PALEI TALLI,0,0,0,0,2
UTTARAKHAND,Pauri,THALISAIN,NAYANGARH,0,0,0,0,2
UTTARAKHAND,Almora,LAMGARA,DHAURA,0,0,0,0,4
UTTARAKHAND,Dehradun,KALSI,JENDEU,0,0,0,1,0
UTTARAKHAND,Bageshwar,GARUR,BHAGAR TOLA,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,PARKOTI,0,0,0,0,3
UTTARAKHAND,Pithorgarh,MUNAKOT,KOSERI,0,0,0,0,1
UTTARAKHAND,Dehradun,KALSI,GHIGAU,0,0,0,1,0
UTTARAKHAND,Tehri,PRATAP NAGAR,RAIKA,0,0,0,0,8
UTTARAKHAND,Pithorgarh,KANALICHINA,RAINTOLI,0,0,0,1,0
UTTARAKHAND,Chamoli,DEWAL,LOSARI,0,0,0,0,1
UTTARAKHAND,Bageshwar,BAGESHWAR,HEERAGONI,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,BHILKOT,0,0,0,0,7
UTTARAKHAND,Almora,BHAISIACHHANA,PALYUN MAI CHAK,0,0,0,0,2
UTTARAKHAND,Chamoli,NARAINBAGAR,SWAN TALL,0,1,0,0,0
UTTARAKHAND,Tehri,JAUNPUR,THAAN,0,0,0,0,2
UTTARAKHAND,Almora,BHIKIASAIN,CHOUNIYA,0,0,1,0,0
UTTARAKHAND,Bageshwar,KAPKOT,HARKOT,0,0,0,0,5
UTTARAKHAND,Almora,TARIKHET,BAINA,0,0,1,0,0
UTTARAKHAND,Almora,BHIKIASAIN,TERMOLI,0,1,1,0,0
UTTARAKHAND,Chamoli,GHAT,LWANI,0,1,0,0,3
UTTARAKHAND,Pithorgarh,MUNAKOT,JALTURI,0,0,0,1,0
UTTARAKHAND,Almora,SALT,JAMOLI,0,1,0,0,2
UTTARAKHAND,Tehri,NARENDRA NAGAR,LASER,0,0,0,0,1
UTTARAKHAND,Pithorgarh,DHARCHULA,GARGUWA,0,0,3,0,1
UTTARAKHAND,Almora,LAMGARA,Noura,0,0,0,0,3
UTTARAKHAND,Pithorgarh,KANALICHINA,OLITARI,0,0,1,1,0
UTTARAKHAND,Uttarkashi,MORI,SATTA,0,0,0,0,1
UTTARAKHAND,Dehradun,KALSI,MAISASA,0,0,0,0,1
UTTARAKHAND,Chamoli,DEWAL,KOTHI,0,0,0,0,2
UTTARAKHAND,Tehri,THAULDHAR,DHASANGAON,0,0,0,0,1
UTTARAKHAND,Rudarprayag,UKHIMATH,SALYA,0,0,0,0,2
UTTARAKHAND,Dehradun,KALSI,SAKROLL,0,0,0,2,0
UTTARAKHAND,Tehri,PRATAP NAGAR,MOTNA,0,0,0,0,9
UTTARAKHAND,Tehri,JAUNPUR,PARODI,0,0,0,0,4
UTTARAKHAND,Chamoli,POKHARI,BANGTHAL,0,1,0,0,0
UTTARAKHAND,Dehradun,KALSI,BADHOO,0,0,0,2,0
UTTARAKHAND,Champawat,BARAKOT,Khola Sunar,0,0,2,1,0
UTTARAKHAND,Tehri,KRITINAGAR,KAMAND,0,0,0,0,1
UTTARAKHAND,Rudarprayag,AUGUSTYAMUNI,BASHTI,0,0,0,1,1
UTTARAKHAND,Almora,CHAUKHUTIYA,KIROLI KI ALLI,0,0,1,0,0
UTTARAKHAND,Rudarprayag,AUGUSTYAMUNI,BARSIL,0,0,1,0,0
UTTARAKHAND,Tehri,THAULDHAR,BIKOL,0,0,0,0,2
UTTARAKHAND,Chamoli,DEWAL,HARMAL,0,0,0,0,2
UTTARAKHAND,Chamoli,GHAT,KHALTARA,0,0,0,0,1
UTTARAKHAND,Almora,CHAUKHUTIYA,BASH KANIYA,0,0,0,0,1
UTTARAKHAND,Almora,TAKULA,JAKH SAURA,0,0,4,0,0
UTTARAKHAND,Pithorgarh,BERINAAG,GARAUN,0,0,0,0,1
UTTARAKHAND,Pithorgarh,GANGOLIHAT,CHAULI,0,0,1,0,1
UTTARAKHAND,Bageshwar,GARUR,LAMCHULA,0,0,0,0,3
UTTARAKHAND,Almora,TARIKHET,TALLA MEYON,0,0,0,0,1
UTTARAKHAND,Tehri,JAUNPUR,AGLADSERA,0,0,0,0,4
UTTARAKHAND,Almora,LAMGARA,UNYURA,0,0,0,0,1
UTTARAKHAND,Pauri,KALJIKHAL,KIMOLI,0,0,0,0,1
UTTARAKHAND,Chamoli,THARALI,SUNAUN,0,1,0,0,3
UTTARAKHAND,Almora,DHAULADEVI,GIRCHAULA,0,0,0,0,2
UTTARAKHAND,Pauri,KOT,BIDING,0,1,0,0,0
UTTARAKHAND,Almora,BHAISIACHHANA,KHAS TILARI,0,0,0,0,3
UTTARAKHAND,Pithorgarh,BERINAAG,KALETI,0,0,0,0,2
UTTARAKHAND,Bageshwar,GARUR,NAUGAON,0,0,0,0,7
UTTARAKHAND,Almora,DHAULADEVI,AMODH,0,0,0,0,2
UTTARAKHAND,Chamoli,NARAINBAGAR,KANSOLA,0,0,0,0,3
UTTARAKHAND,Pauri,KOT,KHOLA-1,0,1,0,0,0
UTTARAKHAND,Almora,BHIKIASAIN,SINAURA KIROKOTI,0,1,0,0,0
UTTARAKHAND,Almora,TAKULA,KHARI SUNAR GAON,0,0,1,0,0
UTTARAKHAND,Almora,LAMGARA,NOALI,0,0,0,0,1
UTTARAKHAND,Rudarprayag,AUGUSTYAMUNI,DOBH LAGA MARORA,0,0,0,0,1
UTTARAKHAND,Tehri,DEVPRAYAG,BHUYANL LAGA BIRKOT,0,0,0,0,1
UTTARAKHAND,Pauri,PAURI,WAJALI,0,0,0,0,1
UTTARAKHAND,Tehri,THAULDHAR,JASPUR,0,0,0,0,1
UTTARAKHAND,Champawat,BARAKOT,Baira Badwal,0,0,0,0,1
UTTARAKHAND,Rudarprayag,JAKHOLI,Urola,0,0,0,0,1
UTTARAKHAND,Pithorgarh,GANGOLIHAT,JYOLIA KHET,0,0,0,0,1
UTTARAKHAND,Chamoli,DASHOLI,SAIKOT,0,1,0,0,0
UTTARAKHAND,Tehri,DEVPRAYAG,LWETHI,0,0,0,0,1
UTTARAKHAND,Almora,DHAULADEVI,MANTOLA GUNTH,0,0,0,0,1
UTTARAKHAND,Uttarkashi,MORI,HALTADI,0,1,0,0,2
UTTARAKHAND,Chamoli,JOSHIMATH,JUGNUCHAKLATA,0,0,1,0,0
UTTARAKHAND,Chamoli,GHAT,KUMJUG,0,0,0,0,2
UTTARAKHAND,Chamoli,POKHARI,AIRAS,0,1,0,0,0
UTTARAKHAND,Almora,LAMGARA,SYUNA,0,0,0,0,1
UTTARAKHAND,Dehradun,KALSI,SHILAA,0,0,0,1,0
UTTARAKHAND,Bageshwar,GARUR,DHIRTOLI,0,0,0,0,4
UTTARAKHAND,Tehri,PRATAP NAGAR,CHILIYALI SERA,0,0,0,0,5
UTTARAKHAND,Pauri,KOT,PHALSWARI,0,1,0,0,0
UTTARAKHAND,Chamoli,NARAINBAGAR,NALGAON SIRGUR,0,2,0,0,0
UTTARAKHAND,Almora,BHIKIASAIN,RIKHARH,0,0,0,0,3
UTTARAKHAND,Bageshwar,GARUR,CHHATYANI,0,0,0,0,4
UTTARAKHAND,Chamoli,GHAT,JAKHANI,0,0,0,0,4
UTTARAKHAND,Uttarkashi,NOUGAON,KANDARI,0,0,0,0,3
UTTARAKHAND,Almora,BHIKIASAIN,SINAR,0,0,0,0,1
UTTARAKHAND,Almora,DWARAHAT,BATELA,0,0,0,0,1
UTTARAKHAND,Rudarprayag,AUGUSTYAMUNI,DANGI,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,LAUBAJ,0,0,0,0,1
UTTARAKHAND,Almora,LAMGARA,LWALI,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,MALLA PAYA,0,0,0,0,1
UTTARAKHAND,Tehri,JAUNPUR,MATHLOUN TALLA-MALLA,0,0,0,0,5
UTTARAKHAND,Almora,LAMGARA,KHANA,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,CHANISERA,0,0,0,0,1
UTTARAKHAND,Almora,SALT,RAMPURAY CHAURA,0,1,0,0,0
UTTARAKHAND,Udham Singh Nagar,JASPUR,BABAR KHEDA,0,0,0,0,1
UTTARAKHAND,Tehri,KRITINAGAR,RAMPUR,0,0,0,0,1
UTTARAKHAND,Chamoli,JOSHIMATH,PAGANAU,0,0,1,0,1
UTTARAKHAND,Chamoli,JOSHIMATH,NOLIGWAR,0,0,1,0,0
UTTARAKHAND,Chamoli,DASHOLI,SALLA RAITOLI,0,1,0,0,0
UTTARAKHAND,Dehradun,KALSI,MUNDHAN,0,0,0,1,0
UTTARAKHAND,Almora,LAMGARA,ANDOLI,0,0,0,0,1
UTTARAKHAND,Chamoli,KARNAPRAYAG,CHAUDALI,0,0,0,1,0
UTTARAKHAND,Almora,DHAULADEVI,KANA POKHARI,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,ROLYAN,0,0,0,0,2
UTTARAKHAND,Almora,DHAULADEVI,MYOLI,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,LOHARI MALLI,0,0,0,0,1
UTTARAKHAND,Almora,TARIKHET,PINOLI,0,0,0,1,0
UTTARAKHAND,Almora,HAWALBAG,DHONOLI,0,0,0,0,1
UTTARAKHAND,Almora,LAMGARA,BAIDITANA,0,0,0,0,2
UTTARAKHAND,Bageshwar,KAPKOT,KAICHUWA,0,0,0,0,1
UTTARAKHAND,Almora,DHAULADEVI,DANYA LAGGA DHURA,0,0,0,0,2
UTTARAKHAND,Tehri,DEVPRAYAG,KULA KANDI,0,0,0,0,1
UTTARAKHAND,Almora,TARIKHET,HARARE,0,0,0,0,1
UTTARAKHAND,Almora,HAWALBAG,KAFCHAUN,0,0,0,0,1
UTTARAKHAND,Pauri,Dwarikhal,SONDAL,0,0,1,0,0
UTTARAKHAND,Bageshwar,GARUR,MYALDE BHRAMARI,0,0,0,0,2
UTTARAKHAND,Tehri,JAUNPUR,JAYDWAR TALLA,0,0,0,0,1
UTTARAKHAND,Chamoli,GAIRSEN,MELBAGAR,0,1,0,0,0
UTTARAKHAND,Almora,BHAISIACHHANA,CHANOLI,0,0,0,0,3
UTTARAKHAND,Tehri,DEVPRAYAG,RANSOLI,0,0,0,0,2
UTTARAKHAND,Almora,CHAUKHUTIYA,TALLI KHATYARI,0,0,1,0,0
UTTARAKHAND,Tehri,JAUNPUR,HARIYA GAON,0,0,0,0,1
UTTARAKHAND,Almora,CHAUKHUTIYA,ADIGAON KANORIYA,0,0,1,0,0
UTTARAKHAND,Champawat,BARAKOT,Kakari,0,0,1,0,0
UTTARAKHAND,Dehradun,KALSI,LELTA,0,0,0,2,0
UTTARAKHAND,Bageshwar,BAGESHWAR,KAMOL,0,0,0,0,1
UTTARAKHAND,Almora,LAMGARA,CHAUNLI TALLI,0,0,0,0,2
UTTARAKHAND,Almora,DWARAHAT,AGARI,0,1,0,0,0
UTTARAKHAND,Chamoli,GHAT,SINK  CHAK SERI,0,0,1,0,0
UTTARAKHAND,Almora,LAMGARA,PABHAUN,0,0,0,0,1
UTTARAKHAND,Almora,CHAUKHUTIYA,MASAUN,0,0,1,0,0
UTTARAKHAND,Pauri,KOT,THAPLI,0,1,0,0,0
UTTARAKHAND,Almora,SALT,RITHA,0,1,0,0,0
UTTARAKHAND,Bageshwar,GARUR,DHOLA GAON,0,0,0,0,4
UTTARAKHAND,Tehri,JAUNPUR,NEGIYANA,0,0,0,0,1
UTTARAKHAND,Tehri,PRATAP NAGAR,SILARI,0,0,0,0,3
UTTARAKHAND,Almora,BHIKIASAIN,INOLI,0,1,0,0,0
UTTARAKHAND,Pithorgarh,BERINAAG,KANDE,2,0,0,0,0
UTTARAKHAND,Almora,LAMGARA,KHETI PANDE,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,DUMLOT STATE,0,0,0,0,1
UTTARAKHAND,Uttarkashi,NOUGAON,LODAN,0,0,0,0,1
UTTARAKHAND,Dehradun,KALSI,KHOKHRI MARLAU,0,0,0,2,0
UTTARAKHAND,Tehri,NARENDRA NAGAR,BERNI BARI,0,0,0,0,1
UTTARAKHAND,Bageshwar,BAGESHWAR,TALAR,0,0,0,0,1
UTTARAKHAND,Chamoli,KARNAPRAYAG,DOTHALA,0,0,1,0,0
UTTARAKHAND,Almora,DWARAHAT,BUDHA SURNA,0,0,1,0,0
UTTARAKHAND,Almora,HAWALBAG,SARANA,0,0,0,0,5
UTTARAKHAND,Tehri,THAULDHAR,JYUNDASU,0,0,0,0,1
UTTARAKHAND,Almora,BHIKIASAIN,KHAIRIA,0,1,0,0,0
UTTARAKHAND,Almora,LAMGARA,FUTA,0,0,0,0,2
UTTARAKHAND,Chamoli,GHAT,GANDASU,0,1,0,1,0
UTTARAKHAND,Bageshwar,BAGESHWAR,SARANA MALLA,0,0,0,0,1
UTTARAKHAND,Almora,SALT,SARURH PATSAR,0,1,1,0,0
UTTARAKHAND,Bageshwar,GARUR,BHITAR KOT,0,0,0,0,1
UTTARAKHAND,Almora,LAMGARA,KALATI,0,0,0,0,2
UTTARAKHAND,Pithorgarh,BERINAAG,BHAISIYAUDYIAR,0,0,0,0,1
UTTARAKHAND,Almora,TARIKHET,DUNGARA,0,0,0,0,1
UTTARAKHAND,Rudarprayag,AUGUSTYAMUNI,KODIMA,0,0,0,0,1
UTTARAKHAND,Almora,LAMGARA,BHASORI,0,0,0,0,4
UTTARAKHAND,Champawat,BARAKOT,Suri,0,0,0,0,1
UTTARAKHAND,Chamoli,DEWAL,GHES,0,0,0,0,2
UTTARAKHAND,Pithorgarh,DHARCHULA,KIMKHOLA,0,0,5,0,0
UTTARAKHAND,Chamoli,GHAT,LUNTARA,0,1,0,0,0
UTTARAKHAND,Tehri,DEVPRAYAG,DHUNGI,0,0,0,0,1
UTTARAKHAND,Bageshwar,GARUR,JAKHERA,0,0,0,0,6
UTTARAKHAND,Tehri,DEVPRAYAG,PULDIYANA,0,0,0,1,0
UTTARAKHAND,Rudarprayag,UKHIMATH,UNIYANA,0,0,0,0,2
UTTARAKHAND,Almora,BHIKIASAIN,PADHUALA,0,1,0,0,0
